,query,value,mode
0,car wash and wax near me,240200,rising
1,car detailing near me,130,rising
2,car wash and detailing near me,120,rising
3,car wash near me,120,rising
4,mobile car detailing near me,110,rising
5,mobile detailing near me,110,rising
6,mobile car detailing near me,100,top
7,car detailing near me,99,top
8,mobile detailing near me,99,top
9,car wash near me,96,top
10,car wash and detailing near me,94,top
11,mobile auto detailing,58,top
12,car wash and wax near me,8,top
